Week_Start,Date,Close,Volume
2024-06-03,2024-06-04,56.33,2720878
2024-06-03,2024-06-05,56.52,3476077
2024-06-03,2024-06-06,56.58,2510155
2024-06-03,2024-06-07,56.52,2147405
2024-06-10,2024-06-10,56.63,2174712
2024-06-10,2024-06-11,56.5,2038655
2024-06-10,2024-06-12,56.41,3485925
2024-06-10,2024-06-13,56.31,2844877
2024-06-10,2024-06-14,56.2,2732010
2024-06-17,2024-06-17,56.32,2690895
2024-06-17,2024-06-18,56.37,2642427
2024-06-17,2024-06-20,56.53,3303569
2024-06-17,2024-06-21,56.7,2139449
2024-06-24,2024-06-24,56.95,2864630
2024-06-24,2024-06-25,56.75,3121597
2024-06-24,2024-06-26,56.72,2332564
2024-06-24,2024-06-27,56.74,2572259
2024-06-24,2024-06-28,56.68,2478110
2024-07-01,2024-07-01,56.11,3178128
2024-07-01,2024-07-02,56.2,2785065
2024-07-01,2024-07-03,56.14,2345787
2024-07-01,2024-07-05,56.38,2848765
2024-07-08,2024-07-08,56.24,2573928
2024-07-08,2024-07-09,56.13,3168128
2024-07-08,2024-07-10,56.24,2833195
2024-07-08,2024-07-11,56.64,3134234
2024-07-08,2024-07-12,56.91,3000059
2024-07-15,2024-07-15,56.86,2578276
2024-07-15,2024-07-16,57.22,2784842
2024-07-15,2024-07-17,57.33,3124036
2024-07-15,2024-07-18,57.06,3242339
2024-07-15,2024-07-19,56.77,2599357
2024-07-22,2024-07-22,57.2,3100661
2024-07-22,2024-07-23,56.91,2957017
2024-07-22,2024-07-24,56.34,2971052
2024-07-22,2024-07-25,56.32,2913809
2024-07-22,2024-07-26,56.96,2669204
2024-07-29,2024-07-29,57.02,2350955
2024-07-29,2024-07-30,57.04,2810168
2024-07-29,2024-07-31,57.48,3420661
2024-07-29,2024-08-01,57,5561155
2024-07-29,2024-08-02,56.37,6734474
2024-08-05,2024-08-05,54.98,9728651
2024-08-05,2024-08-06,55.52,5067767
2024-08-05,2024-08-07,55.28,3331454
2024-08-05,2024-08-08,56.22,2670194
2024-08-05,2024-08-09,56.41,2372875
2024-08-12,2024-08-12,56.36,2667688
2024-08-12,2024-08-13,56.83,2599639
2024-08-12,2024-08-14,57.06,2461540
2024-08-12,2024-08-15,57.56,2810063
2024-08-12,2024-08-16,57.61,1841077
2024-08-19,2024-08-19,57.82,2918083
2024-08-19,2024-08-20,57.84,2384104
2024-08-19,2024-08-21,58,2128081
2024-08-19,2024-08-22,57.87,2237237
2024-08-19,2024-08-23,58.11,2936242
2024-08-26,2024-08-26,58.29,2407840
2024-08-26,2024-08-27,58.35,1948699
2024-08-26,2024-08-28,58.3,2411902
2024-08-26,2024-08-29,58.55,2771984
2024-08-26,2024-08-30,58.83,2154035
2024-09-02,2024-09-03,58.09,2982864
2024-09-02,2024-09-04,58.19,2881313
2024-09-02,2024-09-05,57.93,2802331
2024-09-02,2024-09-06,57.53,3309433
2024-09-09,2024-09-09,58.1,2480029
2024-09-09,2024-09-10,58.2,2218850
2024-09-09,2024-09-11,58.35,2913897
2024-09-09,2024-09-12,58.5,3572130
2024-09-09,2024-09-13,58.83,2039381
2024-09-16,2024-09-16,59.05,2678361
2024-09-16,2024-09-17,59.01,2321274
2024-09-16,2024-09-18,58.85,2813220
2024-09-16,2024-09-19,59.21,2708885
2024-09-16,2024-09-20,59.15,2307339
2024-09-23,2024-09-23,59.32,2669113
2024-09-23,2024-09-24,59.25,3451771
2024-09-23,2024-09-25,59.13,2537064
2024-09-23,2024-09-26,59.32,2690977
2024-09-23,2024-09-27,59.41,2623275
2024-09-30,2024-09-30,59.51,3310863
2024-09-30,2024-10-01,59.11,3973876
2024-09-30,2024-10-02,59.19,3255991
2024-09-30,2024-10-03,58.91,3159573
2024-09-30,2024-10-04,59.15,2177139
2024-10-07,2024-10-07,58.84,2845379
2024-10-07,2024-10-08,58.99,2080971
2024-10-07,2024-10-09,59.22,2536210
2024-10-07,2024-10-10,59.15,1962697
2024-10-07,2024-10-11,59.46,2521631
2024-10-14,2024-10-14,59.71,2273116
2024-10-14,2024-10-15,59.57,2479393
2024-10-14,2024-10-16,59.77,2556707
2024-10-14,2024-10-17,59.84,2435747
2024-10-14,2024-10-18,59.9,2356511
2024-10-21,2024-10-21,59.65,2428416
2024-10-21,2024-10-22,59.6,2308966
2024-10-21,2024-10-23,59.53,2546122
2024-10-21,2024-10-24,59.39,2427571
2024-10-21,2024-10-25,59.23,2625692
2024-10-28,2024-10-28,59.36,2601157
2024-10-28,2024-10-29,59.24,2637176
2024-10-28,2024-10-30,59.15,3314931
2024-10-28,2024-10-31,58.69,3278562
2024-10-28,2024-11-01,58.47,3243723
2024-11-04,2024-11-04,58.43,3134372
2024-11-04,2024-11-05,58.88,2983638
2024-11-04,2024-11-06,59.59,5059051
2024-11-04,2024-11-07,59.67,4734825
2024-11-04,2024-11-08,60.03,2982478
2024-11-11,2024-11-11,60.08,2751797
2024-11-11,2024-11-12,59.97,2931862
2024-11-11,2024-11-13,60.02,2667487
2024-11-11,2024-11-14,59.78,3388272
2024-11-11,2024-11-15,59.27,4671516
2024-11-18,2024-11-18,59.43,3547257
2024-11-18,2024-11-19,59.41,3730781
2024-11-18,2024-11-20,59.48,3304119
2024-11-18,2024-11-21,59.91,3310247
2024-11-18,2024-11-22,60.16,2764471
2024-11-25,2024-11-25,60.5,3258911
2024-11-25,2024-11-26,60.68,2687222
2024-11-25,2024-11-27,60.69,3214955
2024-11-25,2024-11-29,60.83,1644968
2024-12-02,2024-12-02,60.3,3195270
2024-12-02,2024-12-03,60.09,3223794
2024-12-02,2024-12-04,60.17,3378226
2024-12-02,2024-12-05,59.99,3567832
2024-12-02,2024-12-06,59.91,3082400
2024-12-09,2024-12-09,59.67,2997342
2024-12-09,2024-12-10,59.64,3432296
2024-12-09,2024-12-11,59.62,3082760
2024-12-09,2024-12-12,59.51,2880030
2024-12-09,2024-12-13,59.43,2862313
2024-12-16,2024-12-16,59.23,4001594
2024-12-16,2024-12-17,59.11,3452954
2024-12-16,2024-12-18,57.76,5557222
2024-12-16,2024-12-19,57.64,5691098
2024-12-16,2024-12-20,58.2,4077178
2024-12-23,2024-12-23,58.39,3467159
2024-12-23,2024-12-24,58.82,2024090
2024-12-23,2024-12-26,58.86,2238307
2024-12-23,2024-12-27,58.46,3716836
2024-12-30,2024-12-30,57.96,3864896
2024-12-30,2024-12-31,57.53,4012808
2024-12-30,2025-01-02,57.49,4518907
2024-12-30,2025-01-03,57.98,4147602
2025-01-06,2025-01-06,57.91,3621464
2025-01-06,2025-01-07,57.66,3792081
2025-01-06,2025-01-08,57.89,3253102
2025-01-06,2025-01-10,57.06,5904825
2025-01-13,2025-01-13,57.27,3238187
2025-01-13,2025-01-14,57.5,3406583
2025-01-13,2025-01-15,58,4146294
2025-01-13,2025-01-16,58.25,4379130
2025-01-13,2025-01-17,58.5,3850992
2025-01-20,2025-01-21,58.95,4218513
2025-01-20,2025-01-22,58.87,5405517
2025-01-20,2025-01-23,59.14,3279080
2025-01-20,2025-01-24,59.1,3398252
2025-01-27,2025-01-27,59.29,4970833
2025-01-27,2025-01-28,58.98,4396849
2025-01-27,2025-01-29,58.94,3954069
2025-01-27,2025-01-30,59.13,3373031
2025-01-27,2025-01-31,58.97,3787710
2025-02-03,2025-02-03,58.56,5064730
2025-02-03,2025-02-04,58.62,4054223
2025-02-03,2025-02-05,58.94,4346730
2025-02-03,2025-02-06,59.04,3337554
2025-02-03,2025-02-07,58.79,4162917
2025-02-10,2025-02-10,59.09,3219048
2025-02-10,2025-02-11,59.2,3655083
2025-02-10,2025-02-12,59.04,3831282
2025-02-10,2025-02-13,59.28,3579874
2025-02-10,2025-02-14,59.17,3153319
2025-02-17,2025-02-18,59.35,4055951
2025-02-17,2025-02-19,59.71,3060736
2025-02-17,2025-02-20,59.71,3368873
